iter	Passed	Remaining
401	17282	25708
402	17310	25643
403	17351	25597
404	17399	25561
405	17428	25499
406	17471	25455
407	17516	25415
408	17560	25374
409	17605	25335
410	17636	25274
411	17683	25237
412	17714	25177
413	17738	25108
414	17770	25049
415	17796	24983
416	17841	24944
417	17888	24906
418	17909	24834
419	17928	24758
420	17953	24691
421	17984	24632
422	18007	24562
423	18044	24512
424	18081	24462
425	18125	24422
426	18172	24386
427	18206	24332
428	18229	24263
429	18254	24197
430	18280	24134
431	18304	24067
432	18336	24011
433	18380	23971
434	18409	23911
435	18452	23869
436	18475	23802
437	18523	23768
438	18572	23733
439	18603	23676
440	18654	23646
441	18697	23604
442	18748	23572
443	18794	23535
444	18828	23482
445	18861	23428
446	18905	23388
447	18929	23323
448	18962	23270
449	18989	23209
450	19018	23150
451	19066	23115
452	19095	23058
453	19124	22999
454	19168	22959
455	19203	22909
456	19240	22861
457	19308	22849
458	19345	22801
459	19378	22749
460	19424	22711
461	19470	22673
462	19518	22637
463	19546	22579
464	19588	22537
465	19619	22482
466	19674	22454
467	19721	22417
468	19746	22356
469	19803	22331
470	19827	22268
471	19862	22218
472	19885	22155
473	19912	22097
474	19946	22046
475	19996	22012
476	20030	21962
477	20058	21904
478	20111	21875
479	20167	21847
480	20213	21810
481	20235	21747
482	20265	21691
483	20309	21652
484	20357	21616
485	20397	21572
486	20423	21513
487	20450	21456
488	20490	21412
489	20536	21374
490	20566	21320
491	20589	21258
492	20634	21220
493	20677	21180
494	20728	21146
495	20784	21119
496	20812	21063
497	20847	21015
498	20904	20988
499	20955	20955
500	20992	20908
501	21020	20853
502	21064	20813
503	21093	20758
504	21118	20700
505	21144	20643
506	21170	20585
507	21195	20527
508	21214	20464
509	21248	20415
510	21277	20361
511	21302	20303
512	21348	20266
513	21397	20232
514	21446	20196
515	21470	20139
516	21514	20099
517	21538	20041
518	21571	19992
519	21613	19951
520	21658	19912
521	21701	19872
522	21744	19832
523	21774	19779
524	21802	19725
525	21833	19674
526	21863	19622
527	21892	19570
528	21916	19513
529	21946	19462
530	21966	19401
531	21990	19344
532	22042	19313
533	22085	19273
534	22124	19230
535	22149	19174
536	22178	19121
537	22219	19080
538	22258	19037
539	22299	18995
540	22321	18938
541	22364	18898
542	22397	18850
543	22423	18796
544	22464	18754
545	22504	18712
546	22545	18671
547	22595	18637
548	22621	18583
549	22661	18541
550	22705	18502
551	22730	18448
552	22777	18411
553	22798	18354
554	22840	18313
555	22882	18272
556	22916	18226
557	22962	18188
558	22983	18131
559	23028	18093
560	23071	18054
561	23107	18008
562	23130	17954
563	23155	17900
564	23198	17860
565	23218	17803
566	23260	17762
567	23308	17727
568	23328	17670
569	23373	17632
570	23405	17584
571	23440	17539
572	23478	17496
573	23503	17443
574	23530	17392
575	23554	17338
576	23596	17298
577	23639	17259
578	23683	17220
579	23709	17169
580	23735	17117
581	23781	17080
582	23827	17042
583	23870	17003
584	23914	16965
585	23966	16931
586	23990	16879
587	24020	16830
588	24048	16780
589	24072	16728
590	24119	16692
591	24167	16655
592	24224	16626
593	24256	16579
594	24287	16531
595	24322	16487
596	24354	16440
597	24380	16389
598	24423	16350
599	24449	16299
600	24473	16247
601	24515	16207
602	24564	16172
603	24611	16135
604	24637	16085
605	24671	16040
606	24713	16000
607	24757	15962
608	24784	15912
609	24827	15873
610	24873	15835
611	24915	15796
612	24953	15753
613	25015	15726
614	25037	15674
615	25079	15634
616	25123	15595
617	25147	15544
618	25189	15504
619	25237	15468
620	25294	15437
621	25342	15400
622	25385	15361
623	25427	15321
624	25452	15271
625	25504	15237
626	25549	15199
627	25579	15152
628	25622	15112
629	25657	15068
630	25698	15028
631	25743	14990
632	25772	14942
633	25812	14901
634	25855	14861
635	25895	14820
636	25920	14771
637	25960	14730
638	26004	14691
639	26046	14651
640	26090	14612
641	26139	14575
642	26183	14537
643	26207	14487
644	26244	14444
645	26288	14405
646	26312	14355
647	26336	14306
648	26368	14260
649	26391	14211
650	26430	14169
651	26458	14121
652	26506	14085
653	26542	14042
654	26578	13999
655	26603	13950
656	26647	13911
657	26688	13871
658	26714	13823
659	26734	13772
660	26782	13735
661	26830	13698
662	26860	13653
663	26885	13604
664	26934	13568
665	27005	13543
666	27043	13501
667	27085	13461
668	27120	13418
669	27170	13382
670	27230	13351
671	27278	13314
672	27307	13268
673	27334	13221
674	27367	13177
675	27397	13131
676	27453	13098
677	27514	13067
678	27548	13023
679	27616	12995
680	27649	12951
681	27705	12918
682	27733	12871
683	27774	12831
684	27840	12802
685	27912	12776
686	27975	12745
687	28014	12704
688	28050	12661
689	28081	12616
690	28110	12570
691	28153	12530
692	28196	12491
693	28266	12463
694	28328	12432
695	28393	12401
696	28472	12377
697	28532	12344
698	28571	12303
699	28620	12265
700	28689	12237
701	28718	12190
702	28781	12159
703	28834	12123
704	28893	12090
705	28951	12056
706	29010	12022
707	29044	11978
708	29072	11932
709	29129	11897
710	29189	11864
711	29236	11825
712	29286	11788
713	29319	11744
714	29351	11699
715	29411	11666
716	29474	11633
717	29537	11601
718	29609	11571
719	29646	11529
720	29678	11484
721	29705	11437
722	29735	11392
723	29791	11356
724	29820	11311
725	29879	11276
726	29937	11241
727	30000	11208
728	30038	11166
729	30096	11131
730	30125	11086
731	30179	11049
732	30247	11017
733	30311	10984
734	30359	10945
735	30422	10912
736	30469	10873
737	30525	10836
738	30583	10801
739	30627	10760
740	30687	10726
741	30745	10690
742	30805	10655
743	30864	10619
744	30920	10583
745	30960	10541
746	31019	10505
747	31053	10461
748	31079	10415
749	31115	10371
750	31146	10326
751	31180	10282
752	31237	10246
753	31282	10206
754	31307	10159
755	31345	10116
756	31380	10073
757	31420	10031
758	31453	9987
759	31515	9952
760	31539	9905
761	31606	9871
762	31651	9831
763	31715	9796
764	31760	9756
765	31805	9715
766	31831	9669
767	31891	9633
768	31935	9593
769	31964	9547
770	32003	9505
771	32065	9470
772	32096	9425
773	32158	9390
774	32189	9345
775	32239	9306
776	32281	9264
777	32339	9227
778	32371	9183
779	32432	9147
780	32465	9103
781	32501	9060
782	32552	9021
783	32588	8978
784	32646	8941
785	32687	8899
786	32718	8855
787	32752	8811
788	32807	8773
789	32862	8735
790	32915	8697
791	32945	8652
792	32971	8606
793	33017	8566
794	33054	8523
795	33091	8480
796	33130	8438
797	33184	8400
798	33232	8360
799	33287	8321
800	33337	8282
801	33393	8244
802	33423	8199
803	33476	8160
804	33500	8115
805	33522	8068
806	33571	8028
807	33603	7984
808	33664	7948
809	33700	7904
810	33730	7860
811	33763	7817
812	33827	7780
813	33848	7734
814	33882	7691
815	33936	7652
816	33964	7607
817	34021	7569
818	34055	7526
819	34092	7483
820	34149	7445
821	34203	7406
