iter	RMSE
507	203509.3824
508	203509.3767
509	203504.1402
510	203504.1176
511	203504.0955
512	203503.1584
513	203496.6235
514	203486.005
515	203485.9816
516	203459.0114
517	203458.7407
518	203420.7944
519	203397.5815
520	203382.1458
521	203283.0673
522	203275.6654
523	203275.6128
524	203275.3561
525	203275.1843
526	203275.1342
527	203274.8851
528	203274.8369
529	203274.7515
530	203274.7191
531	203274.674
532	203270.5268
533	203238.1739
534	203203.4144
535	203203.368
536	203203.3223
537	203200.1385
538	203194.8892
539	203174.0493
540	203174.0214
541	203169.2427
542	203157.265
543	203157.0754
544	203081.4622
545	203074.4018
546	203069.4138
547	203065.6578
548	203065.6178
549	203059.977
550	203054.041
551	203054.0071
552	203047.2579
553	203047.1009
554	203043.5616
555	203025.9373
556	203025.2424
557	202997.2201
558	202997.1847
559	202988.5852
560	202986.4996
561	202984.4286
562	202984.3951
563	202984.2402
564	202981.5303
565	202981.3943
566	202980.8304
567	202941.2664
568	202941.2338
569	202915.2118
570	202915.1585
571	202910.8582
572	202910.69
573	202910.655
574	202910.5244
575	202910.4901
576	202909.8552
577	202906.7254
578	202826.6657
579	202826.6306
580	202826.5969
581	202790.1874
582	202779.4738
583	202752.7887
584	202752.3684
585	202695.7903
586	202695.7666
587	202695.7365
588	202695.7074
589	202695.6067
590	202549.5358
591	202524.0543
592	202470.074
593	202469.9711
594	202469.9441
595	202469.8437
596	202469.7327
597	202469.7057
598	202453.0577
599	202452.9601
600	202452.9336
601	202450.2977
602	202430.3782
603	202429.8393
604	202429.7465
605	202427.2479
606	202396.9478
607	202366.98
608	202366.8882
609	202361.5247
610	202308.8535
611	202306.9177
612	202306.8839
613	202306.5079
614	202306.4807
615	202283.3328
616	202260.5834
617	202260.5514
618	202258.4548
619	202252.7166
620	202239.652
621	202238.7324
622	202235.1353
623	202213.4167
624	202213.3273
625	202207.9318
626	202205.8722
627	202205.7914
628	202199.7749
629	202199.6502
630	202199.5812
631	202197.2773
632	202197.2448
633	202196.6746
634	202151.3729
635	202148.7952
636	202148.7577
637	202097.5773
638	202097.3585
639	202087.4257
640	202083.5105
641	202078.4699
642	202065.9284
643	202065.9239
644	202065.8437
645	202013.335
646	202013.2936
647	202013.2538
648	202013.1954
649	202013.1568
650	202011.6666
651	202011.6128
652	202009.7754
653	202009.6785
654	202009.4371
655	202009.3942
656	202008.0071
657	202002.7405
658	202002.6962
659	202002.6574
660	201998.2652
661	201997.0718
662	201996.6513
663	201996.6075
664	201962.7713
665	201961.947
666	201961.8931
667	201961.7038
668	201961.6517
669	201960.9581
670	201907.8926
671	201906.8448
672	201906.7904
673	201906.7417
674	201906.07
675	201906.0184
676	201882.2529
677	201834.8028
678	201834.7409
679	201833.3633
680	201833.326
681	201831.885
682	201830.8877
683	201830.855
684	201817.0315
685	201814.6495
686	201793.5389
687	201793.4864
688	201793.4361
689	201793.4014
690	201793.3646
691	201793.3313
692	201793.284
693	201778.4782
694	201754.4609
695	201754.0572
696	201751.6948
697	201750.1859
698	201750.1261
699	201746.083
700	201742.116
701	201742.0881
702	201686.1351
703	201684.7407
704	201642.483
705	201640.9492
706	201640.6517
707	201640.2177
708	201640.1675
709	201616.2019
710	201608.6317
711	201601.8217
712	201601.6788
713	201601.6381
714	201601.5965
715	201583.4293
716	201546.1366
717	201525.5039
718	201491.5585
719	201491.5194
720	201491.4867
721	201491.4509
722	201491.4191
723	201490.9341
724	201490.9067
725	201482.632
726	201428.6509
727	201416.5807
728	201416.0929
729	201365.9035
730	201365.8497
731	201351.4408
732	201296.9579
733	201296.8042
734	201293.8475
735	201249.0633
736	201248.6886
737	201183.7117
738	201182.6369
739	201181.6178
740	201180.4389
741	201174.3028
742	201171.9874
743	201143.8347
744	201143.3473
745	201142.5992
746	201141.6173
747	201141.5953
748	201141.5506
749	201141.1822
750	201141.1408
751	201141.1179
752	201138.1562
753	201138.1375
754	201138.0965
755	201138.0782
756	201138.0607
757	201138.0289
758	201138.0119
759	201127.756
760	201127.7216
761	201092.6857
762	201091.8359
763	201090.7442
764	201090.721
765	201090.3711
766	201090.3486
767	201089.4317
768	201088.4371
769	201088.4048
770	201087.5634
771	201070.0436
772	201070.0221
773	201066.1624
774	201066.1313
775	201063.3666
776	201062.596
777	201030.7016
778	201030.6831
779	201023.5232
780	201023.4921
781	201023.4605
782	200983.4026
783	200982.779
784	200980.8948
785	200979.9121
786	200979.8982
787	200979.8654
788	200979.3728
789	200978.9263
790	200962.6747
791	200962.6608
792	200962.4636
793	200960.6573
794	200960.6269
795	200959.9124
796	200959.739
797	200956.3444
798	200916.4772
799	200907.7676
800	200891.9959
801	200884.445
802	200884.4278
803	200879.8999
804	200879.885
805	200879.8656
806	200879.7343
807	200879.7143
808	200860.7133
809	200860.1507
810	200860.137
811	200860.1226
812	200857.7203
813	200857.7075
814	200857.2729
815	200810.8445
816	200810.8298
817	200810.7163
818	200810.7006
819	200810.0922
820	200791.8623
821	200779.6928
822	200779.6314
823	200779.0849
824	200751.296
825	200748.7625
826	200748.7426
827	200748.7233
828	200748.179
829	200708.8527
830	200703.8617
831	200703.3318
832	200675.6233
833	200675.5251
834	200675.5134
835	200674.9931
836	200674.2256
837	200674.2129
838	200649.5098
839	200649.5003
840	200610.3025
841	200610.2597
842	200569.6439
843	200556.6495
844	200552.6877
845	200548.0319
846	200548.0141
847	200547.9167
848	200547.8997
849	200547.8654
850	200547.8569
851	200486.2616
852	200486.246
853	200428.4446
854	200428.4274
855	200428.4099
856	200377.2765
857	200377.2595
858	200363.0256
859	200320.9091
860	200290.5882
861	200257.749
862	200251.7127
863	200251.6908
864	200251.4342
865	200248.9887
866	200248.9676
867	200248.9299
868	200247.0779
869	200246.6264
870	200246.231
871	200241.5702
872	200221.0065
873	200220.7908
874	200220.7692
875	200219.909
876	200219.0481
877	200219.011
878	200214.8291
879	200214.3206
880	200214.3007
881	200214.2817
882	200205.7933
883	200205.7537
884	200199.5813
885	200194.7765
886	200194.5766
887	200194.5565
888	200194.5234
889	200194.1578
890	200193.5543
891	200191.7711
892	200191.7508
893	200170.8182
894	200170.7846
895	200166.5173
896	200158.6865
897	200158.6692
898	200158.6535
899	200156.8561
900	200143.1374
901	200143.123
902	200143.0932
903	200143.0922
904	200143.0634
905	200143.0488
906	200142.8807
907	200132.8279
908	200131.8973
909	200111.9272
910	200111.4077
911	200111.2512
912	200091.7748
913	200067.4574
914	200019.5512
915	199949.2741
916	199949.256
917	199945.2869
918	199945.2707
919	199945.0954
920	199945.079
921	199945.0784
922	199945.0627
923	199943.1889
924	199930.78
925	199930.7747
926	199927.0665
927	199926.5684
928	199926.5411
929	199926.3242
930	199926.3155
931	199926.2996
932	199925.6569
933	199925.6563
934	199925.6403
935	199925.6254
936	199924.0035
937	199924.0027
938	199923.9884
939	199923.9615
940	199923.9479
941	199923.9325
942	199923.932
943	199923.9189
944	199923.8928
945	199923.8925
946	199923.8621
947	199923.2383
948	199923.0393
949	199923.0271
950	199923.0135
951	199904.766
952	199904.7538
953	199904.7421
954	199904.4009
955	199904.2302
956	199902.6224
957	199902.6217
958	199901.1104
959	199901.0986
960	199898.8971
961	199898.8728
962	199898.5383
963	199897.9949
964	199826.6968
965	199826.5827
966	199826.2791
967	199826.2671
968	199826.267
969	199826.2558
970	199826.2516
971	199826.1971
972	199801.7734
973	199801.4934
974	199801.4819
975	199801.4709
976	199797.4641
977	199797.4514
978	199797.4392
979	199791.5584
980	199789.8249
981	199789.8103
982	199789.7965
983	199789.348
984	199789.329
985	199789.0423
986	199789.0287
987	199787.2216
988	199787.2089
989	199787.1887
990	199787.1765
991	199786.5695
992	199786.5576
993	199786.5574
994	199786.0593
995	199777.4695
996	199777.3472
997	199736.4529
998	199687.0945
999	199687.0943
